06/12/15 13:40:28:860 | [INFO] |  | ASU | LWANative | P7Native |  |  | 2123 | Start : pwa_getDeviceID
06/12/15 13:40:28:860 | [INFO] |  | ASU | OPM | OPM |  |  | 2123 | Build Version - 8.0.0.156
06/12/15 13:40:28:860 | [INFO] |  | ASU | OPM | OPM |  |  | 2123 | Logging Level verbosity Set  to 4
06/12/15 13:40:28:948 | [INFO] |  | ASU | OPM | OPM |  |  | 2123 | Schema version and schema compatibility version are same or greater than current

06/12/15 13:40:28:950 | [INFO] |  | ASU | OPM | OPM |  |  | 2123 | _opm_handle_OPDReturnedStatus called with opdStatus as:0
06/12/15 13:40:28:950 | [INFO] |  | ASU | OPM | OPM |  |  | 2123 | No Record found for the input fields in opm_getValueForKey
06/12/15 13:40:28:950 | [WARN] |  | ASU | OPM | OPMWrapper |  |  | 2123 | Failed in getting value for key in OPMGetValueForKey
06/12/15 13:40:28:950 | [INFO] |  | ASU | OPM | P7Native |  |  | 2123 | OOBELibSessionForDeviceID : DeviceId not present in local db generating it from scratch in pwa_getDeviceID
06/12/15 13:40:28:951 | [INFO] |  | ASU | OPM | P7Native |  |  | 2123 | Start : generateDeviceID
06/12/15 13:40:28:987 | [INFO] |  | ASU | OPM | P7Native |  |  | 2123 | End : generateDeviceID
06/12/15 13:40:28:987 | [INFO] |  | ASU | OPM | P7Native |  |  | 2123 | End : pwa_getDeviceID
06/12/15 13:40:28:987 | [INFO] |  | ASU | OPM | OPM |  |  | 2123 | Released OPM refrence successfully in opm_freeLibRef
06/12/15 13:40:28:989 | [INFO] |  | ASU | OPM | P7Native |  |  | 2123 | Start : pwa_closeSession
06/12/15 13:40:29:559 | [INFO] |  | ASU | OPM | P7Native |  |  | 2123 | End : pwa_closeSession
06/12/15 13:40:29:562 | [INFO] |  | ASU | OPM | OPM |  |  | 2123 | Build Version - 8.0.1.12
06/12/15 13:40:29:562 | [INFO] |  | ASU | OPM | OPM |  |  | 2123 | Logging Level verbosity Set  to 4
06/12/15 13:40:29:654 | [INFO] |  | ASU | OPM | OPM |  |  | 2123 | Schema version and schema compatibility version are same or greater than current

06/12/15 13:40:29:656 | [INFO] |  | ASU | OPM | OPM |  |  | 2123 | _opm_handle_OPDReturnedStatus called with opdStatus as:0
06/12/15 13:40:29:656 | [INFO] |  | ASU | OPM | OPM |  |  | 2123 | No Record found for the input fields in opm_getValueForKey
06/12/15 13:40:29:656 | [INFO] |  | ASU | OPM | OPM |  |  | 2123 | Released OPM refrence successfully in opm_freeLibRef
06/12/15 13:40:29:664 | [INFO] |  | ASU | OPM | P7Native |  |  | 2123 | Performing openIMSLibSessionWithXMLParams...
06/12/15 13:40:29:664 | [INFO] |  | ASU | OPM | P7Native |  |  | 2123 | pwa_openIMSLibSessionWithXMLParams Session key : 4C5583F8-7E95-4F02-8620-2728042E54BA
06/12/15 13:40:29:699 | [INFO] |  | ASU | IMSLib | IMSLib |  |  | 2123 | Build Version - 8.0.0.17
06/12/15 13:40:29:699 | [INFO] |  | ASU | IMSLib | IMSLib |  |  | 2123 | Logging Level verbosity Set  to 4
06/12/15 13:40:29:699 | [INFO] |  | ASU | IMSLib | IMSLib |  |  | 2123 | Creating IMSLib instance WithXMLParams ...
06/12/15 13:40:29:700 | [INFO] |  | ASU | IMSLib | IMSLib |  |  | 2123 | Failed to retreive locale from the input xml in IMS_createRefExWithXMLParams
06/12/15 13:40:29:701 | [INFO] |  | ASU | OPM | OPM |  |  | 2123 | Build Version - 8.0.0.17
06/12/15 13:40:29:701 | [INFO] |  | ASU | OPM | OPM |  |  | 2123 | Logging Level verbosity Set  to 4
06/12/15 13:40:29:736 | [INFO] |  | ASU | OPM | OPM |  |  | 2123 | Schema version and schema compatibility version are same or greater than current

